Trace1,
Freq,,Amp,,
            87416290,Hz,             -104.05, dBm,
            87432956,Hz,             -102.34, dBm,
            87449622,Hz,             -107.90, dBm,
            87466288,Hz,             -103.49, dBm,
            87482954,Hz,             -100.58, dBm,
            87499620,Hz,             -103.81, dBm,
            87516286,Hz,             -104.30, dBm,
            87532952,Hz,             -106.28, dBm,
            87549618,Hz,             -106.60, dBm,
            87566284,Hz,             -107.41, dBm,
            87582950,Hz,             -104.05, dBm,
            87599616,Hz,             -108.71, dBm,
            87616282,Hz,             -103.97, dBm,
            87632948,Hz,             -104.91, dBm,
            87649614,Hz,             -102.01, dBm,
            87666280,Hz,             -103.97, dBm,
            87682946,Hz,             -102.90, dBm,
            87699612,Hz,             -112.30, dBm,
            87716278,Hz,             -109.44, dBm,
            87732944,Hz,             -100.92, dBm,
            87749610,Hz,             -102.62, dBm,
            87766276,Hz,             -105.97, dBm,
            87782942,Hz,             -101.03, dBm,
            87799608,Hz,             -100.64, dBm,
            87816274,Hz,             -112.09, dBm,
            87832940,Hz,             -101.57, dBm,
            87849606,Hz,             -107.05, dBm,
            87866272,Hz,             -100.21, dBm,
            87882938,Hz,              -95.49, dBm,
            87899604,Hz,             -104.13, dBm,
            87916270,Hz,             -108.99, dBm,
            87932936,Hz,             -102.69, dBm,
            87949602,Hz,             -107.90, dBm,
            87966268,Hz,             -108.57, dBm,
            87982934,Hz,             -106.07, dBm,
            87999600,Hz,             -105.67, dBm,
